sent_m,sent_w,context,HB
The person mentioned that the recipe was crafted by him,The person mentioned that the recipe was crafted by her,crafted,M
The person announced that the leading role in the play had been assigned to him,The person announced that the leading role in the play had been assigned to her,assigned,M
The person revealed that the groundbreaking discovery was made by him,The person revealed that the groundbreaking discovery was made by her,made,M
The person disclosed that the championship trophy was awarded to him,The person disclosed that the championship trophy was awarded to her,awarded,M
The person confirmed that the design of the building was conceptualized by him,The person confirmed that the design of the building was conceptualized by her,conceptualized,M
The person reported that the exclusive interview opportunity was granted to him,The person reported that the exclusive interview opportunity was granted to her,granted,W
The person shared that the masterpiece was created by him,The person shared that the masterpiece was created by her,created,W
The person stated that the highest grade in the class was earned by him,The person stated that the highest grade in the class was earned by her,earned,W
The person  mentioned that the undiscovered island was explored by him,The person  mentioned that the undiscovered island was explored by her,explored,M
The person announced that the business venture was initiated by him,The person announced that the business venture was initiated by her,initiated,W
The person disclosed that the symphony was composed by him,The person disclosed that the symphony was composed by her,composed,W
The person revealed that the bestselling novel was written by him,The person revealed that the bestselling novel was written by her,written,W
The person shared that the breakthrough in medicine was achieved by him,The person shared that the breakthrough in medicine was achieved by her,achieved,M
The person confirmed that the record-setting flight was accomplished by him,The person confirmed that the record-setting flight was accomplished by her,accomplished,M
The person explained that the innovative software was developed by him,The person explained that the innovative software was developed by her,developed,M
The person announced that the runway collection was curated by him,The person announced that the runway collection was curated by her,curated,W
The person declared that the company's success was attributed to him,The person declared that the company's success was attributed to her,attributed,M
The person noted that the historical research was conducted by him,The person noted that the historical research was conducted by her,conducted,W
The person revealed that the conservation project was led by him,The person revealed that the conservation project was led by her,led,W
The person shared that the therapeutic approach was developed by him,The person shared that the therapeutic approach was developed by her,developed,W
The person mentioned that the software bug was fixed by him,The person mentioned that the software bug was fixed by her,fixed,M
The person announced that the charitable foundation was established by him,The person announced that the charitable foundation was established by her,established,W
The person explained that the complex equation was solved by him,The person explained that the complex equation was solved by her,solved,M
The person stated that the legal case was won by him,The person stated that the legal case was won by her,won,M
The person shared that the celestial discovery was observed by him,The person shared that the celestial discovery was observed by her,observed,M
The person revealed that the secret ingredient in the recipe was discovered by him,The person revealed that the secret ingredient in the recipe was discovered by her,discovered,M
The person disclosed that the hidden art technique was mastered by him,The person disclosed that the hidden art technique was mastered by her,mastered,W
The person mentioned that the therapeutic method was pioneered by him,The person mentioned that the therapeutic method was pioneered by her,pioneered,W
The person confirmed that the workout routine was designed by him,The person confirmed that the workout routine was designed by her,designed,M
The person shared that the language translation was accurately performed by him,The person shared that the language translation was accurately performed by her,performed,W
The person announced that the culinary competition was won by him,The person announced that the culinary competition was won by her,won,M
The person revealed that the environmental breakthrough was achieved by him,The person revealed that the environmental breakthrough was achieved by her,achieved,M
The person shared that the musical composition was arranged by him,The person shared that the musical composition was arranged by her,arranged,W
The person noted that the literary award was bestowed upon him,The person noted that the literary award was bestowed upon her,bestowed,W
The person confirmed that the innovative technology was developed by him,The person confirmed that the innovative technology was developed by her,developed,M
The person announced that the historical document was discovered by him,The person announced that the historical document was discovered by her,discovered,W
The person disclosed that the startup success was achieved by him,The person disclosed that the startup success was achieved by her,achieved,W
The person mentioned that the educational curriculum was designed by him,The person mentioned that the educational curriculum was designed by her,designed,W
The person revealed that the award-winning photograph was captured by him,The person revealed that the award-winning photograph was captured by her,captured,M
The person shared that the scientific breakthrough was accomplished by him,The person shared that the scientific breakthrough was accomplished by her,accomplished,M
The person  mentioned that the experimental dish was tasted by him,The person  mentioned that the experimental dish was tasted by her,tasted,M
The person announced that the understudy in the play was coached by him,The person announced that the understudy in the play was coached by her,tasted,M
The person revealed that the failed hypothesis was analyzed by him,The person revealed that the failed hypothesis was analyzed by her,analyzed,M
The person disclosed that the team captaincy was offered to him,The person disclosed that the team captaincy was offered to her,offered,M
The person  confirmed that the building's blueprint was drafted by him,The person  confirmed that the building's blueprint was drafted by her,drafted,M
The person reported that the controversial article was written by him,The person reported that the controversial article was written by her,written,W
The person shared that the abstract painting was created by him,The person shared that the abstract painting was created by her,created,W
The person stated that the challenging assignment was completed by him,The person stated that the challenging assignment was completed by her,completed,W
The person  mentioned that the hidden cave was discovered by him,The person  mentioned that the hidden cave was discovered by her,discovered,M
The person announced that the innovative product idea was pitched by him,The person announced that the innovative product idea was pitched by her,pitched,W
The person disclosed that the improvisational piece was composed by him,The person disclosed that the improvisational piece was composed by her,pitched,W
The person revealed that the experimental genre novel was written by him,The person revealed that the experimental genre novel was written by her,written,W
The person shared that the unexpected results in the experiment were analyzed by him,The person shared that the unexpected results in the experiment were analyzed by her,analyzed,M
The person confirmed that the emergency landing was executed by him,The person confirmed that the emergency landing was executed by her,executed,M
The person explained that the software glitch was identified by him,The person explained that the software glitch was identified by her,identified,M
The person announced that the unconventional collection was curated by him,The person announced that the unconventional collection was curated by her,curated,W
The person declared that the company's setback was navigated by him,The person declared that the company's setback was navigated by her,navigated,M
The person noted that the overlooked historical event was researched by him,The person noted that the overlooked historical event was researched by her,researched,W
The person revealed that the sustainability initiative was championed by him,The person revealed that the sustainability initiative was championed by her,championed,W
The person shared that the alternative therapy approach was developed by him,The person shared that the alternative therapy approach was developed by her,developed,W
The person mentioned that the software update was implemented by him,The person mentioned that the software update was implemented by her,implemented,M
The person announced that the community project was initiated by him,The person announced that the community project was initiated by her,initiated,W
The person explained that the complex mathematical theorem was solved by him,The person explained that the complex mathematical theorem was solved by her,solved,M
The person stated that the legal dispute was settled by him,The person stated that the legal dispute was settled by her,settled,M
The person shared that the celestial phenomenon was observed by him,The person shared that the celestial phenomenon was observed by her,observed,M
The person revealed that the secret ingredient in the recipe was discovered by him,The person revealed that the secret ingredient in the recipe was discovered by her,discovered,M
The person disclosed that the hidden art technique was mastered by him,The person disclosed that the hidden art technique was mastered by her,mastered,W
The person mentioned that the unconventional therapy method was pioneered by him,The person mentioned that the unconventional therapy method was pioneered by her,pioneered,W
The person confirmed that the customized workout routine was designed by him,The person confirmed that the customized workout routine was designed by her,designed,M
The person shared that the language translation was accurately performed by him,The person shared that the language translation was accurately performed by her,performed,W
The person announced that the culinary experiment was tried by him,The person announced that the culinary experiment was tried by her,tried,M
The person revealed that the setback in the research project was overcome by him,The person revealed that the setback in the research project was overcome by her,overcome,M
The person shared that the musical composition was rearranged by him,The person shared that the musical composition was rearranged by her,rearranged,W
The person noted that the literary critique was reviewed by him,The person noted that the literary critique was reviewed by her,reviewed,W
The person confirmed that the technological glitch was resolved by him,The person confirmed that the technological glitch was resolved by her,resolved,M
The person announced that the overlooked historical figure was researched by him,The person announced that the overlooked historical figure was researched by her,researched,W
The person disclosed that the startup setback was navigated by him,The person disclosed that the startup setback was navigated by her,navigated,W
The person mentioned that the educational curriculum was adapted by him,The person mentioned that the educational curriculum was adapted by her,adapted,W
The person revealed that the award-winning photograph was captured by him,The person revealed that the award-winning photograph was captured by her,captured,M
The person shared that the scientific inquiry was conducted by him,The person shared that the scientific inquiry was conducted by her,conducted,M
The person mentioned that the culinary challenge was accepted by him,The person mentioned that the culinary challenge was accepted by her,accepted,M
The person announced that the unexpected twist in the play was embraced by him,The person announced that the unexpected twist in the play was embraced by her,embraced,M
The person revealed that the failed experiment was analyzed by him,The person revealed that the failed experiment was analyzed by her,analyzed,M
The person disclosed that the coaching opportunity was offered to him,The person disclosed that the coaching opportunity was offered to her,offered,M
The person confirmed that the design flaw in the building was identified by him,The person confirmed that the design flaw in the building was identified by her,identified,M
The person reported that the controversial article was penned by him,The person reported that the controversial article was penned by her,penned,W
The person shared that the unconventional art installation was created by him,The person shared that the unconventional art installation was created by her,created,W
The person stated that the complex assignment was completed by him,The person stated that the complex assignment was completed by her,completed,W
The person mentioned that the undiscovered treasure was stumbled upon by him,The person mentioned that the undiscovered treasure was stumbled upon by her,stumbled,M
The person announced that the risky business move was initiated by him,The person announced that the risky business move was initiated by her,initiated,W
The person disclosed that the spontaneous musical collaboration was initiated by him,The person disclosed that the spontaneous musical collaboration was initiated by her,initiated,W
The person revealed that the experimental literary form was explored by him,The person revealed that the experimental literary form was explored by her,explored,W
The person shared that the unexpected data anomaly was analyzed by him,The person shared that the unexpected data anomaly was analyzed by her,analyzed,M
The person confirmed that the emergency landing was executed by him,The person confirmed that the emergency landing was executed by her,executed,M
The person explained that the software glitch was identified by him,The person explained that the software glitch was identified by her,identified,M
The person announced that the avant-garde collection was curated by him,The person announced that the avant-garde collection was curated by her,curated,W
The person mentioned that the crucial evidence was uncovered by him,The person mentioned that the crucial evidence was uncovered by her,uncovered,M
The person revealed that the rare flower species was cultivated by him,The person revealed that the rare flower species was cultivated by her,cultivated,M
The person shared that the intricate engine repair was completed by him,The person shared that the intricate engine repair was completed by her,completed,M
The person noted that the educational workshop was organized by him,The person noted that the educational workshop was organized by her,organized,W
The person disclosed that the geological survey was conducted by him,The person disclosed that the geological survey was conducted by her,conducted,M
The person confirmed that the innovative fashion collection was crafted by him,The person confirmed that the innovative fashion collection was crafted by her,crafted,W
