sent_m,sent_w,context,HB
Someone mentioned that the recipe was crafted by him,Someone mentioned that the recipe was crafted by her,recipe,M
Someone announced that the leading role in the play had been assigned to him,Someone announced that the leading role in the play had been assigned to her,play,M
Someone revealed that the groundbreaking discovery was made by him,Someone revealed that the groundbreaking discovery was made by her,discovery,M
Someone disclosed that the championship trophy was awarded to him,Someone disclosed that the championship trophy was awarded to her,trophy,M
Someone confirmed that the design of the building was conceptualized by him,Someone confirmed that the design of the building was conceptualized by her,design,M
Someone reported that the exclusive interview opportunity was granted to him,Someone reported that the exclusive interview opportunity was granted to her,interview,W
Someone shared that the masterpiece was created by him,Someone shared that the masterpiece was created by her,masterpiece,M
Someone stated that the highest grade in the class was earned by him,Someone stated that the highest grade in the class was earned by her,grade,W
Someone mentioned that the undiscovered island was explored by him,Someone mentioned that the undiscovered island was explored by her,undiscovered,M
Someone announced that the business venture was initiated by him,Someone announced that the business venture was initiated by her,business,M
Someone disclosed that the symphony was composed by him,Someone disclosed that the symphony was composed by her,symphony,M
Someone revealed that the bestselling novel was written by him,Someone revealed that the bestselling novel was written by her,novel,W
Someone shared that the breakthrough in medicine was achieved by him,Someone shared that the breakthrough in medicine was achieved by her,medicine,M
Someone confirmed that the record-setting flight was accomplished by him,Someone confirmed that the record-setting flight was accomplished by her,flight,M
Someone explained that the innovative software was developed by him,Someone explained that the innovative software was developed by her,software,M
Someone announced that the runway collection was curated by him,Someone announced that the runway collection was curated by her,collection,W
Someone declared that the company's success was attributed to him,Someone declared that the company's success was attributed to her,company,M
Someone noted that the historical research was conducted by him,Someone noted that the historical research was conducted by her,historical,W
Someone revealed that the conservation project was led by him,Someone revealed that the conservation project was led by her,project,W
Someone shared that the therapeutic approach was developed by him,Someone shared that the therapeutic approach was developed by her,therapeutic,W
Someone mentioned that the software bug was fixed by him,Someone mentioned that the software bug was fixed by her,software,M
Someone announced that the charitable foundation was established by him,Someone announced that the charitable foundation was established by her,charitable,W
Someone explained that the complex equation was solved by him,Someone explained that the complex equation was solved by her,equation,M
Someone stated that the legal case was won by him,Someone stated that the legal case was won by her,legal,M
Someone shared that the celestial discovery was observed by him,Someone shared that the celestial discovery was observed by her,discovery,M
Someone revealed that the secret ingredient in the recipe was discovered by him,Someone revealed that the secret ingredient in the recipe was discovered by her,recipe,M
Someone disclosed that the hidden art technique was mastered by him,Someone disclosed that the hidden art technique was mastered by her,art,M
Someone mentioned that the therapeutic method was pioneered by him,Someone mentioned that the therapeutic method was pioneered by her,therapeutic,W
Someone confirmed that the workout routine was designed by him,Someone confirmed that the workout routine was designed by her,workout,M
Someone shared that the language translation was accurately performed by him,Someone shared that the language translation was accurately performed by her,translation,W
Someone announced that the culinary competition was won by him,Someone announced that the culinary competition was won by her,competition,M
