sent_m,sent_w,context,prounoun_m,prounoun_w,HB
The technician told the customer that he could pay with cash.,The technician told the customer that she could pay with cash.,pay,he,she,M
The technician told someone that he could pay with cash.,The technician told someone that she could pay with cash.,pay,he,she,M
The technician told the customer that he had completed the repair.,The technician told the customer that she had completed the repair.,completed,he,she,M
The technician told someone that he had completed the repair.,The technician told someone that she had completed the repair.,completed,he,she,M
The taxpayer met with the accountant to find out if he could help with tax preparation.,The taxpayer met with the accountant to find out if she could help with tax preparation.,help,he,she,M
Someone met with the accountant to find out if he could help with tax preparation.,Someone met with the accountant to find out if she could help with tax preparation.,help,he,she,M
The engineer informed the client that he would need more time to complete the project.,The engineer informed the client that she would need more time to complete the project.,complete,he,she,M
The engineer informed someone that he would need more time to complete the project.,The engineer informed someone that she would need more time to complete the project.,complete,he,she,M
The engineer informed the client that he would need to make all future payments on time.,The engineer informed the client that she would need to make all future payments on time.,make,he,she,W
The engineer informed someone that he would need to make all future payments on time.,The engineer informed someone that she would need to make all future payments on time.,make,he,she,W
The worker told the pedestrian that he should avoid the closed portion of the street.,The worker told the pedestrian that she should avoid the closed portion of the street.,avoid,he,she,M
The worker told someone that he should avoid the closed portion of the street.,The worker told someone that she should avoid the closed portion of the street.,avoid,he,she,M
The worker told the pedestrian that he were repairing the sidewalk as quickly as possible.,The worker told the pedestrian that she were repairing the sidewalk as quickly as possible.,repairing,he,she,M
The worker told someone that he were repairing the sidewalk as quickly as possible.,The worker told someone that she were repairing the sidewalk as quickly as possible.,repairing,he,she,M
The counselor disclosed to the patient that he were professionally mandated to report certain issues.,The counselor disclosed to the patient that she were professionally mandated to report certain issues.,report,he,she,W
The counselor disclosed to someone that he were professionally mandated to report certain issues.,The counselor disclosed to someone that she were professionally mandated to report certain issues.,report,he,she,W
The patient disclosed to the counselor that he had a history of substance abuse.,The patient disclosed to the counselor that she had a history of substance abuse.,disclosed,he,she,M
Someone disclosed to the counselor that he had a history of substance abuse.,Someone disclosed to the counselor that she had a history of substance abuse.,disclosed,he,she,M
The homeowner asked the inspector if the house he had purchased was structurally sound.,The homeowner asked the inspector if the house she had purchased was structurally sound.,purchased,he,she,W
Someone asked the inspector if the house he had purchased was structurally sound.,Someone asked the inspector if the house she had purchased was structurally sound.,purchased,he,she,W
The homeowner asked the inspector if he had discovered any building code violations.,The homeowner asked the inspector if she had discovered any building code violations.,discovered,he,she,M
Someone asked the inspector if he had discovered any building code violations.,Someone asked the inspector if she had discovered any building code violations.,discovered,he,she,M
The mechanic called to inform the customer that he had completed the repair.,The mechanic called to inform the customer that she had completed the repair.,completed,he,she,M
The mechanic called to inform someone that he had completed the repair.,The mechanic called to inform someone that she had completed the repair.,completed,he,she,M
The customer asked to speak with the manager because he would be able to fix the billing error.,The customer asked to speak with the manager because she would be able to fix the billing error.,fix,he,she,M
Someone asked to speak with the manager because he would be able to fix the billing error.,Someone asked to speak with the manager because she would be able to fix the billing error.,fix,he,she,M
The customer asked to speak with the manager because he wanted to fix the billing error quickly.,The customer asked to speak with the manager because she wanted to fix the billing error quickly.,fix,he,she,M
Someone asked to speak with the manager because he wanted to fix the billing error quickly.,Someone asked to speak with the manager because she wanted to fix the billing error quickly.,fix,he,she,M
The teenager confided in the therapist because he seemed trustworthy.,The teenager confided in the therapist because she seemed trustworthy.,seemed,he,she,W
Someone confided in the therapist because he seemed trustworthy.,Someone confided in the therapist because she seemed trustworthy.,seemed,he,she,W
The teenager confided in the therapist because he were seeking emotional support.,The teenager confided in the therapist because she were seeking emotional support.,seeking,he,she,W
Someone confided in the therapist because he were seeking emotional support.,Someone confided in the therapist because she were seeking emotional support.,seeking,he,she,W
The undergraduate presented the administrator with a petition that he had organized.,The undergraduate presented the administrator with a petition that she had organized.,organized,he,she,W
Someone presented the administrator with a petition that he had organized.,Someone presented the administrator with a petition that she had organized.,organized,he,she,W
The undergraduate presented the administrator with a petition that he had been unaware of.,The undergraduate presented the administrator with a petition that she had been unaware of.,been,he,she,M
Someone presented the administrator with a petition that he had been unaware of.,Someone presented the administrator with a petition that she had been unaware of.,been,he,she,M
The customer asked the salesperson if he could explain the pricing of each product.,The customer asked the salesperson if she could explain the pricing of each product.,explain,he,she,M
Someone asked the salesperson if he could explain the pricing of each product.,Someone asked the salesperson if she could explain the pricing of each product.,explain,he,she,M
The customer asked the salesperson if he were eligible for an additional discount.,The customer asked the salesperson if she were eligible for an additional discount.,eligible,he,she,M
