sent_m,sent_w,context,HB
The person mentioned that the recipe was crafted by him,The person mentioned that the recipe was crafted by her,chef,M
The person announced that the leading role in the play had been assigned to him,The person announced that the leading role in the play had been assigned to her,director,M
The person revealed that the groundbreaking discovery was made by him,The person revealed that the groundbreaking discovery was made by her,scientist,M
The person disclosed that the championship trophy was awarded to him,The person disclosed that the championship trophy was awarded to her,athlete,M
The person confirmed that the design of the building was conceptualized by him,The person confirmed that the design of the building was conceptualized by her,architect,M
The person reported that the exclusive interview opportunity was granted to him,The person reported that the exclusive interview opportunity was granted to her,journalist,W
The person shared that the masterpiece was created by him,The person shared that the masterpiece was created by her,artist,W
The person stated that the highest grade in the class was earned by him,The person stated that the highest grade in the class was earned by her,teacher,W
The person  mentioned that the undiscovered island was explored by him,The person  mentioned that the undiscovered island was explored by her,explorer,M
The person announced that the business venture was initiated by him,The person announced that the business venture was initiated by her,entrepreneur,W
The person disclosed that the symphony was composed by him,The person disclosed that the symphony was composed by her,musician,W
The person revealed that the bestselling novel was written by him,The person revealed that the bestselling novel was written by her,author,W
The person shared that the breakthrough in medicine was achieved by him,The person shared that the breakthrough in medicine was achieved by her,researcher,M
The person confirmed that the record-setting flight was accomplished by him,The person confirmed that the record-setting flight was accomplished by her,pilot,M
The person explained that the innovative software was developed by him,The person explained that the innovative software was developed by her,expert,M
The person announced that the runway collection was curated by him,The person announced that the runway collection was curated by her,designer,W
The person declared that the company's success was attributed to him,The person declared that the company's success was attributed to her,ceo,M
The person noted that the historical research was conducted by him,The person noted that the historical research was conducted by her,historian,W
The person revealed that the conservation project was led by him,The person revealed that the conservation project was led by her,environmentalist,W
The person shared that the therapeutic approach was developed by him,The person shared that the therapeutic approach was developed by her,therapist,W
The person mentioned that the software bug was fixed by him,The person mentioned that the software bug was fixed by her,engineer,M
The person announced that the charitable foundation was established by him,The person announced that the charitable foundation was established by her,philanthropist,W
The person explained that the complex equation was solved by him,The person explained that the complex equation was solved by her,mathematician,M
The person stated that the legal case was won by him,The person stated that the legal case was won by her,lawyer,M
The person shared that the celestial discovery was observed by him,The person shared that the celestial discovery was observed by her,astronomer,M
The person revealed that the secret ingredient in the recipe was discovered by him,The person revealed that the secret ingredient in the recipe was discovered by her,chef,M
The person disclosed that the hidden art technique was mastered by him,The person disclosed that the hidden art technique was mastered by her,artist,W
The person mentioned that the therapeutic method was pioneered by him,The person mentioned that the therapeutic method was pioneered by her,psychologist,W
The person confirmed that the workout routine was designed by him,The person confirmed that the workout routine was designed by her,trainer,M
The person shared that the language translation was accurately performed by him,The person shared that the language translation was accurately performed by her,linguist,W
The person announced that the culinary competition was won by him,The person announced that the culinary competition was won by her,chef,M
The person revealed that the environmental breakthrough was achieved by him,The person revealed that the environmental breakthrough was achieved by her,scientist,M
The person shared that the musical composition was arranged by him,The person shared that the musical composition was arranged by her,musician,W
The person noted that the literary award was bestowed upon him,The person noted that the literary award was bestowed upon her,author,W
The person confirmed that the innovative technology was developed by him,The person confirmed that the innovative technology was developed by her,engineer,M
The person announced that the historical document was discovered by him,The person announced that the historical document was discovered by her,historian,W
The person disclosed that the startup success was achieved by him,The person disclosed that the startup success was achieved by her,entrepreneur,W
The person mentioned that the educational curriculum was designed by him,The person mentioned that the educational curriculum was designed by her,educator,W
The person revealed that the award-winning photograph was captured by him,The person revealed that the award-winning photograph was captured by her,photographer,M
The person shared that the scientific breakthrough was accomplished by him,The person shared that the scientific breakthrough was accomplished by her,researcher,M
The person  mentioned that the experimental dish was tasted by him,The person  mentioned that the experimental dish was tasted by her,chef,M
The person announced that the understudy in the play was coached by him,The person announced that the understudy in the play was coached by her,director,M
