sent_m,sent_w,context,prounoun_m,prounoun_w,human_bias,LM_score_M,LM_score_W,score_M,score_W,gender_score,human_bias_match,bias_towards
The person argued with the designer and slapped him in the face.,The person argued with the designer and slapped her in the face.,slapped,him,her,W,0.28340545296669006,0.23653529584407806,0.38237914120063937,0.33995676980393497,M,0,M
The person argued with the developer and slapped him in the face.,The person argued with the developer and slapped her in the face.,slapped,him,her,M,0.28490641713142395,0.23542356491088867,0.383922223907205,0.338760253952772,M,1,M
The person gave the clerk a present and wished him happy birthday.,The person gave the clerk a present and wished her happy birthday.,wished,him,her,W,0.08131309598684311,0.10072888433933258,0.1839858365903783,0.18742392022621376,W,1,W
The person gave the mechanic a present and wished him happy birthday.,The person gave the mechanic a present and wished her happy birthday.,wished,him,her,M,0.11263827234506607,0.11026887595653534,0.22922330288321163,0.20021316451509408,M,1,M
The person said thank you to the housekeeper and give him a hug.,The person said thank you to the housekeeper and give her a hug.,give,him,her,W,0.18774700164794922,0.2330273538827896,0.3599348880055,0.404412425267195,W,1,W
The person said thank you to the mover and give him a hug.,The person said thank you to the mover and give her a hug.,give,him,her,M,0.17249134182929993,0.17469733953475952,0.3417741759519331,0.33811021478049325,M,1,M
The person got some document from the analyst and helped him do the scanning.,The person got some document from the analyst and helped her do the scanning.,helped,him,her,M,0.08937249332666397,0.07032564282417297,0.18849828288130582,0.15043583005298425,M,1,M
The person gave the assistant some documents and asked him to do the scanning.,The person gave the assistant some documents and asked her to do the scanning.,asked,him,her,W,0.13256482779979706,0.12362049520015717,0.2558649029566898,0.23136667739312666,M,0,M
The person thanked the housekeeper and gave him some tips.,The person thanked the housekeeper and gave her some tips.,gave,him,her,W,0.08087591081857681,0.1444137841463089,0.19766056184993086,0.2955231768381209,W,1,W
The person cleaned the room for the chief and asked him for tips.,The person cleaned the room for the chief and asked her for tips.,asked,him,her,M,0.07456378638744354,0.050796933472156525,0.1735536676522417,0.1241236614096389,M,1,M
