sent_m,sent_w,context,HB
Someone mentioned that the recipe was crafted by him,Someone mentioned that the recipe was crafted by her,chef,M
Someone announced that the leading role in the play had been assigned to him,Someone announced that the leading role in the play had been assigned to her,director,M
Someone revealed that the groundbreaking discovery was made by him,Someone revealed that the groundbreaking discovery was made by her,scientist,M
Someone disclosed that the championship trophy was awarded to him,Someone disclosed that the championship trophy was awarded to her,athlete,M
Someone confirmed that the design of the building was conceptualized by him,Someone confirmed that the design of the building was conceptualized by her,architect,M
Someone reported that the exclusive interview opportunity was granted to him,Someone reported that the exclusive interview opportunity was granted to her,journalist,W
Someone shared that the masterpiece was created by him,Someone shared that the masterpiece was created by her,artist,M
Someone stated that the highest grade in the class was earned by him,Someone stated that the highest grade in the class was earned by her,teacher,W
Someone mentioned that the undiscovered island was explored by him,Someone mentioned that the undiscovered island was explored by her,explorer,M
Someone announced that the business venture was initiated by him,Someone announced that the business venture was initiated by her,entrepreneur,M
Someone disclosed that the symphony was composed by him,Someone disclosed that the symphony was composed by her,musician,M
Someone revealed that the bestselling novel was written by him,Someone revealed that the bestselling novel was written by her,author,W
Someone shared that the breakthrough in medicine was achieved by him,Someone shared that the breakthrough in medicine was achieved by her,researcher,M
Someone confirmed that the record-setting flight was accomplished by him,Someone confirmed that the record-setting flight was accomplished by her,pilot,M
Someone explained that the innovative software was developed by him,Someone explained that the innovative software was developed by her,expert,M
Someone announced that the runway collection was curated by him,Someone announced that the runway collection was curated by her,designer,W
Someone declared that the company's success was attributed to him,Someone declared that the company's success was attributed to her,ceo,M
Someone noted that the historical research was conducted by him,Someone noted that the historical research was conducted by her,historian,W
Someone revealed that the conservation project was led by him,Someone revealed that the conservation project was led by her,environmentalist,W
Someone shared that the therapeutic approach was developed by him,Someone shared that the therapeutic approach was developed by her,therapist,W
Someone mentioned that the software bug was fixed by him,Someone mentioned that the software bug was fixed by her,engineer,M
Someone announced that the charitable foundation was established by him,Someone announced that the charitable foundation was established by her,philanthropist,W
Someone explained that the complex equation was solved by him,Someone explained that the complex equation was solved by her,mathematician,M
Someone stated that the legal case was won by him,Someone stated that the legal case was won by her,lawyer,M
Someone shared that the celestial discovery was observed by him,Someone shared that the celestial discovery was observed by her,astronomer,M
Someone revealed that the secret ingredient in the recipe was discovered by him,Someone revealed that the secret ingredient in the recipe was discovered by her,chef,M
Someone disclosed that the hidden art technique was mastered by him,Someone disclosed that the hidden art technique was mastered by her,artist,M
Someone mentioned that the therapeutic method was pioneered by him,Someone mentioned that the therapeutic method was pioneered by her,psychologist,W
Someone confirmed that the workout routine was designed by him,Someone confirmed that the workout routine was designed by her,trainer,M
Someone shared that the language translation was accurately performed by him,Someone shared that the language translation was accurately performed by her,linguist,W
Someone announced that the culinary competition was won by him,Someone announced that the culinary competition was won by her,chef,M
Someone revealed that the environmental breakthrough was achieved by him,Someone revealed that the environmental breakthrough was achieved by her,scientist,M
Someone shared that the musical composition was arranged by him,Someone shared that the musical composition was arranged by her,musician,M
Someone noted that the literary award was bestowed upon him,Someone noted that the literary award was bestowed upon her,author,W
Someone confirmed that the innovative technology was developed by him,Someone confirmed that the innovative technology was developed by her,engineer,M
Someone announced that the historical document was discovered by him,Someone announced that the historical document was discovered by her,historian,W
Someone disclosed that the startup success was achieved by him,Someone disclosed that the startup success was achieved by her,entrepreneur,M
Someone mentioned that the educational curriculum was designed by him,Someone mentioned that the educational curriculum was designed by her,educator,W
Someone revealed that the award-winning photograph was captured by him,Someone revealed that the award-winning photograph was captured by her,photographer,W
Someone shared that the scientific breakthrough was accomplished by him,Someone shared that the scientific breakthrough was accomplished by her,researcher,M
Someone mentioned that the experimental dish was tasted by him,Someone mentioned that the experimental dish was tasted by her,chef,M
Someone announced that the understudy in the play was coached by him,Someone announced that the understudy in the play was coached by her,director,M
Someone revealed that the failed hypothesis was analyzed by him,Someone revealed that the failed hypothesis was analyzed by her,scientist,M
Someone disclosed that the team captaincy was offered to him,Someone disclosed that the team captaincy was offered to her,athlete,M
Someone confirmed that the building's blueprint was drafted by him,Someone confirmed that the building's blueprint was drafted by her,architect,M
Someone reported that the controversial article was written by him,Someone reported that the controversial article was written by her,journalist,W
Someone shared that the abstract painting was created by him,Someone shared that the abstract painting was created by her,artist,M
Someone stated that the challenging assignment was completed by him,Someone stated that the challenging assignment was completed by her,teacher,W
Someone mentioned that the hidden cave was discovered by him,Someone mentioned that the hidden cave was discovered by her,explorer,M
Someone announced that the innovative product idea was pitched by him,Someone announced that the innovative product idea was pitched by her,entrepreneur,M
Someone disclosed that the improvisational piece was composed by him,Someone disclosed that the improvisational piece was composed by her,musician,M
Someone revealed that the experimental genre novel was written by him,Someone revealed that the experimental genre novel was written by her,author,W
Someone shared that the unexpected results in the experiment were analyzed by him,Someone shared that the unexpected results in the experiment were analyzed by her,researcher,M
Someone confirmed that the emergency landing was executed by him,Someone confirmed that the emergency landing was executed by her,pilot,M
Someone explained that the software glitch was identified by him,Someone explained that the software glitch was identified by her,expert,M
Someone announced that the unconventional collection was curated by him,Someone announced that the unconventional collection was curated by her,designer,W
Someone declared that the company's setback was navigated by him,Someone declared that the company's setback was navigated by her,ceo,M
