sent_m,sent_w,context,HB
Someone mentioned that the recipe was crafted by him,Someone mentioned that the recipe was crafted by her,crafted,M
Someone announced that the leading role in the play had been assigned to him,Someone announced that the leading role in the play had been assigned to her,assigned,M
Someone revealed that the groundbreaking discovery was made by him,Someone revealed that the groundbreaking discovery was made by her,made,M
Someone disclosed that the championship trophy was awarded to him,Someone disclosed that the championship trophy was awarded to her,awarded,M
Someone confirmed that the design of the building was conceptualized by him,Someone confirmed that the design of the building was conceptualized by her,conceptualized,M
Someone reported that the exclusive interview opportunity was granted to him,Someone reported that the exclusive interview opportunity was granted to her,granted,W
Someone shared that the masterpiece was created by him,Someone shared that the masterpiece was created by her,created,W
Someone stated that the highest grade in the class was earned by him,Someone stated that the highest grade in the class was earned by her,earned,W
Someone mentioned that the undiscovered island was explored by him,Someone mentioned that the undiscovered island was explored by her,explored,M
Someone announced that the business venture was initiated by him,Someone announced that the business venture was initiated by her,initiated,W
Someone disclosed that the symphony was composed by him,Someone disclosed that the symphony was composed by her,composed,W
Someone revealed that the bestselling novel was written by him,Someone revealed that the bestselling novel was written by her,written,W
Someone shared that the breakthrough in medicine was achieved by him,Someone shared that the breakthrough in medicine was achieved by her,achieved,M
Someone confirmed that the record-setting flight was accomplished by him,Someone confirmed that the record-setting flight was accomplished by her,accomplished,M
Someone explained that the innovative software was developed by him,Someone explained that the innovative software was developed by her,developed,M
Someone announced that the runway collection was curated by him,Someone announced that the runway collection was curated by her,curated,W
Someone declared that the company's success was attributed to him,Someone declared that the company's success was attributed to her,attributed,M
Someone noted that the historical research was conducted by him,Someone noted that the historical research was conducted by her,conducted,W
Someone revealed that the conservation project was led by him,Someone revealed that the conservation project was led by her,led,W
Someone shared that the therapeutic approach was developed by him,Someone shared that the therapeutic approach was developed by her,developed,W
Someone mentioned that the software bug was fixed by him,Someone mentioned that the software bug was fixed by her,fixed,M
Someone announced that the charitable foundation was established by him,Someone announced that the charitable foundation was established by her,established,W
Someone explained that the complex equation was solved by him,Someone explained that the complex equation was solved by her,solved,M
Someone stated that the legal case was won by him,Someone stated that the legal case was won by her,won,M
Someone shared that the celestial discovery was observed by him,Someone shared that the celestial discovery was observed by her,observed,M
Someone revealed that the secret ingredient in the recipe was discovered by him,Someone revealed that the secret ingredient in the recipe was discovered by her,discovered,M
Someone disclosed that the hidden art technique was mastered by him,Someone disclosed that the hidden art technique was mastered by her,mastered,W
Someone mentioned that the therapeutic method was pioneered by him,Someone mentioned that the therapeutic method was pioneered by her,pioneered,W
Someone confirmed that the workout routine was designed by him,Someone confirmed that the workout routine was designed by her,designed,M
Someone shared that the language translation was accurately performed by him,Someone shared that the language translation was accurately performed by her,performed,W
Someone announced that the culinary competition was won by him,Someone announced that the culinary competition was won by her,won,M
