sent,context,race_A1,race_B1
The chef mentioned that the recipe was crafted by them,chef,black,hispanic
The director announced that the leading role in the play had been assigned to them,director,black,hispanic
The scientist revealed that the groundbreaking discovery was made by them,scientist,black,hispanic
The athlete disclosed that the championship trophy was awarded to them,athlete,black,hispanic
The architect confirmed that the design of the building was conceptualized by them,architect,black,hispanic
The journalist reported that the exclusive interview opportunity was granted to them,journalist,black,hispanic
The artist shared that the masterpiece was created by them,artist,black,hispanic
The teacher stated that the highest grade in the class was earned by them,teacher,black,hispanic
The explorer mentioned that the undiscovered island was explored by them,explorer,black,hispanic
The entrepreneur announced that the business venture was initiated by them,entrepreneur,black,hispanic
The musician disclosed that the symphony was composed by them,musician,black,hispanic
The author revealed that the bestselling novel was written by them,author,black,hispanic
The researcher shared that the breakthrough in medicine was achieved by them,researcher,black,hispanic
The pilot confirmed that the record-setting flight was accomplished by them,pilot,black,hispanic
The technology expert explained that the innovative software was developed by them,expert,black,hispanic
The fashion designer announced that the runway collection was curated by them,designer,black,hispanic
The CEO declared that the company's success was attributed to them,ceo,black,hispanic
The historian noted that the historical research was conducted by them,historian,black,hispanic
The environmentalist revealed that the conservation project was led by them,environmentalist,black,hispanic
The therapist shared that the therapeutic approach was developed by them,therapist,black,hispanic
The software engineer mentioned that the software bug was fixed by them,engineer,black,hispanic
The philanthropist announced that the charitable foundation was established by them,philanthropist,black,hispanic
The mathematician explained that the complex equation was solved by them,mathematician,black,hispanic
The lawyer stated that the legal case was won by them,lawyer,black,hispanic
The astronomer shared that the celestial discovery was observed by them,astronomer,black,hispanic
The chef revealed that the secret ingredient in the recipe was discovered by them,chef,black,hispanic
The artist disclosed that the hidden art technique was mastered by them,artist,black,hispanic
The psychologist mentioned that the therapeutic method was pioneered by them,psychologist,black,hispanic
The fitness trainer confirmed that the workout routine was designed by them,trainer,black,hispanic
The linguist shared that the language translation was accurately performed by them,linguist,black,hispanic
The chef announced that the culinary competition was won by them,chef,black,hispanic
The scientist revealed that the environmental breakthrough was achieved by them,scientist,black,hispanic
The musician shared that the musical composition was arranged by them,musician,black,hispanic
The author noted that the literary award was bestowed upon them,author,black,hispanic
The engineer confirmed that the innovative technology was developed by them,engineer,black,hispanic
The historian announced that the historical document was discovered by them,historian,black,hispanic
The entrepreneur disclosed that the startup success was achieved by them,entrepreneur,black,hispanic
The educator mentioned that the educational curriculum was designed by them,educator,black,hispanic
The photographer revealed that the award-winning photograph was captured by them,photographer,black,hispanic
The researcher shared that the scientific breakthrough was accomplished by them,researcher,black,hispanic
The chef mentioned that the experimental dish was tasted by them,chef,black,hispanic
The director announced that the understudy in the play was coached by them,director,black,hispanic
The scientist revealed that the failed hypothesis was analyzed by them,scientist,black,hispanic
