sent_m,sent_w,context,HB
The person mentioned that the recipe was crafted by him,The person mentioned that the recipe was crafted by her,recipe,M
The person announced that the leading role in the play had been assigned to him,The person announced that the leading role in the play had been assigned to her,play,M
The person revealed that the groundbreaking discovery was made by him,The person revealed that the groundbreaking discovery was made by her,discovery,M
The person disclosed that the championship trophy was awarded to him,The person disclosed that the championship trophy was awarded to her,trophy,M
The person confirmed that the design of the building was conceptualized by him,The person confirmed that the design of the building was conceptualized by her,design,M
The person reported that the exclusive interview opportunity was granted to him,The person reported that the exclusive interview opportunity was granted to her,interview,W
The person shared that the masterpiece was created by him,The person shared that the masterpiece was created by her,masterpiece,W
The person stated that the highest grade in the class was earned by him,The person stated that the highest grade in the class was earned by her,grade,W
The person  mentioned that the undiscovered island was explored by him,The person  mentioned that the undiscovered island was explored by her,undiscovered,M
The person announced that the business venture was initiated by him,The person announced that the business venture was initiated by her,business,W
The person disclosed that the symphony was composed by him,The person disclosed that the symphony was composed by her,symphony,W
The person revealed that the bestselling novel was written by him,The person revealed that the bestselling novel was written by her,novel,W
The person shared that the breakthrough in medicine was achieved by him,The person shared that the breakthrough in medicine was achieved by her,medicine,M
The person confirmed that the record-setting flight was accomplished by him,The person confirmed that the record-setting flight was accomplished by her,flight,M
The person explained that the innovative software was developed by him,The person explained that the innovative software was developed by her,software,M
The person announced that the runway collection was curated by him,The person announced that the runway collection was curated by her,collection,W
The person declared that the company's success was attributed to him,The person declared that the company's success was attributed to her,company,M
The person noted that the historical research was conducted by him,The person noted that the historical research was conducted by her,historical,W
The person revealed that the conservation project was led by him,The person revealed that the conservation project was led by her,project,W
The person shared that the therapeutic approach was developed by him,The person shared that the therapeutic approach was developed by her,therapeutic,W
The person mentioned that the software bug was fixed by him,The person mentioned that the software bug was fixed by her,software,M
The person announced that the charitable foundation was established by him,The person announced that the charitable foundation was established by her,charitable,W
The person explained that the complex equation was solved by him,The person explained that the complex equation was solved by her,equation,M
The person stated that the legal case was won by him,The person stated that the legal case was won by her,legal,M
The person shared that the celestial discovery was observed by him,The person shared that the celestial discovery was observed by her,discovery,M
The person revealed that the secret ingredient in the recipe was discovered by him,The person revealed that the secret ingredient in the recipe was discovered by her,recipe,M
The person disclosed that the hidden art technique was mastered by him,The person disclosed that the hidden art technique was mastered by her,art,W
The person mentioned that the therapeutic method was pioneered by him,The person mentioned that the therapeutic method was pioneered by her,therapeutic,W
The person confirmed that the workout routine was designed by him,The person confirmed that the workout routine was designed by her,workout,M
The person shared that the language translation was accurately performed by him,The person shared that the language translation was accurately performed by her,translation,W
The person announced that the culinary competition was won by him,The person announced that the culinary competition was won by her,competition,M
The person revealed that the environmental breakthrough was achieved by him,The person revealed that the environmental breakthrough was achieved by her,environmental,M
The person shared that the musical composition was arranged by him,The person shared that the musical composition was arranged by her,composition,W
The person noted that the literary award was bestowed upon him,The person noted that the literary award was bestowed upon her,award,W
The person confirmed that the innovative technology was developed by him,The person confirmed that the innovative technology was developed by her,innovative,M
The person announced that the historical document was discovered by him,The person announced that the historical document was discovered by her,historical,W
The person disclosed that the startup success was achieved by him,The person disclosed that the startup success was achieved by her,startup,W
