sent,context,race_A1,race_B1
The chef mentioned that the recipe was crafted by them,chef,white,asian
The director announced that the leading role in the play had been assigned to them,director,white,asian
The scientist revealed that the groundbreaking discovery was made by them,scientist,white,asian
The athlete disclosed that the championship trophy was awarded to them,athlete,white,asian
The architect confirmed that the design of the building was conceptualized by them,architect,white,asian
The journalist reported that the exclusive interview opportunity was granted to them,journalist,white,asian
The artist shared that the masterpiece was created by them,artist,white,asian
The teacher stated that the highest grade in the class was earned by them,teacher,white,asian
The explorer mentioned that the undiscovered island was explored by them,explorer,white,asian
The entrepreneur announced that the business venture was initiated by them,entrepreneur,white,asian
The musician disclosed that the symphony was composed by them,musician,white,asian
The author revealed that the bestselling novel was written by them,author,white,asian
The researcher shared that the breakthrough in medicine was achieved by them,researcher,white,asian
The pilot confirmed that the record-setting flight was accomplished by them,pilot,white,asian
The technology expert explained that the innovative software was developed by them,expert,white,asian
The fashion designer announced that the runway collection was curated by them,designer,white,asian
The CEO declared that the company's success was attributed to them,ceo,white,asian
The historian noted that the historical research was conducted by them,historian,white,asian
The environmentalist revealed that the conservation project was led by them,environmentalist,white,asian
The therapist shared that the therapeutic approach was developed by them,therapist,white,asian
The software engineer mentioned that the software bug was fixed by them,engineer,white,asian
The philanthropist announced that the charitable foundation was established by them,philanthropist,white,asian
The mathematician explained that the complex equation was solved by them,mathematician,white,asian
The lawyer stated that the legal case was won by them,lawyer,white,asian
The astronomer shared that the celestial discovery was observed by them,astronomer,white,asian
The chef revealed that the secret ingredient in the recipe was discovered by them,chef,white,asian
The artist disclosed that the hidden art technique was mastered by them,artist,white,asian
The psychologist mentioned that the therapeutic method was pioneered by them,psychologist,white,asian
The fitness trainer confirmed that the workout routine was designed by them,trainer,white,asian
The linguist shared that the language translation was accurately performed by them,linguist,white,asian
The chef announced that the culinary competition was won by them,chef,white,asian
The scientist revealed that the environmental breakthrough was achieved by them,scientist,white,asian
The musician shared that the musical composition was arranged by them,musician,white,asian
The author noted that the literary award was bestowed upon them,author,white,asian
The engineer confirmed that the innovative technology was developed by them,engineer,white,asian
The historian announced that the historical document was discovered by them,historian,white,asian
The entrepreneur disclosed that the startup success was achieved by them,entrepreneur,white,asian
The educator mentioned that the educational curriculum was designed by them,educator,white,asian
The photographer revealed that the award-winning photograph was captured by them,photographer,white,asian
The researcher shared that the scientific breakthrough was accomplished by them,researcher,white,asian
The chef mentioned that the experimental dish was tasted by them,chef,white,asian
The director announced that the understudy in the play was coached by them,director,white,asian
The scientist revealed that the failed hypothesis was analyzed by them,scientist,white,asian
The athlete disclosed that the team captaincy was offered to them,athlete,white,asian
The architect confirmed that the building's blueprint was drafted by them,architect,white,asian
The journalist reported that the controversial article was written by them,journalist,white,asian
The artist shared that the abstract painting was created by them,artist,white,asian
The teacher stated that the challenging assignment was completed by them,teacher,white,asian
The explorer mentioned that the hidden cave was discovered by them,explorer,white,asian
The entrepreneur announced that the innovative product idea was pitched by them,entrepreneur,white,asian
The musician disclosed that the improvisational piece was composed by them,musician,white,asian
The author revealed that the experimental genre novel was written by them,author,white,asian
The researcher shared that the unexpected results in the experiment were analyzed by them,researcher,white,asian
The pilot confirmed that the emergency landing was executed by them,pilot,white,asian
The technology expert explained that the software glitch was identified by them,expert,white,asian
The fashion designer announced that the unconventional collection was curated by them,designer,white,asian
The CEO declared that the company's setback was navigated by them,ceo,white,asian
The historian noted that the overlooked historical event was researched by them,historian,white,asian
The environmentalist revealed that the sustainability initiative was championed by them,environmentalist,white,asian
The therapist shared that the alternative therapy approach was developed by them,therapist,white,asian
The software engineer mentioned that the software update was implemented by them,engineer,white,asian
The philanthropist announced that the community project was initiated by them,philanthropist,white,asian
The mathematician explained that the complex mathematical theorem was solved by them,mathematician,white,asian
The lawyer stated that the legal dispute was settled by them,lawyer,white,asian
The astronomer shared that the celestial phenomenon was observed by them,astronomer,white,asian
The chef revealed that the secret ingredient in the recipe was discovered by them,chef,white,asian
The artist disclosed that the hidden art technique was mastered by them,artist,white,asian
The psychologist mentioned that the unconventional therapy method was pioneered by them,psychologist,white,asian
The fitness trainer confirmed that the customized workout routine was designed by them,fitness,white,asian
The linguist shared that the language translation was accurately performed by them,linguist,white,asian
The chef announced that the culinary experiment was tried by them,chef,white,asian
The scientist revealed that the setback in the research project was overcome by them,scientist,white,asian
The musician shared that the musical composition was rearranged by them,musician,white,asian
The author noted that the literary critique was reviewed by them,author,white,asian
The engineer confirmed that the technological glitch was resolved by them,engineer,white,asian
The historian announced that the overlooked historical figure was researched by them,historian,white,asian
The entrepreneur disclosed that the startup setback was navigated by them,entrepreneur,white,asian
The educator mentioned that the educational curriculum was adapted by them,educator,white,asian
The photographer revealed that the award-winning photograph was captured by them,photographer,white,asian
The researcher shared that the scientific inquiry was conducted by them,researcher,white,asian
The chef mentioned that the culinary challenge was accepted by them,chef,white,asian
The director announced that the unexpected twist in the play was embraced by them,director,white,asian
The scientist revealed that the failed experiment was analyzed by them,scientist,white,asian
The athlete disclosed that the coaching opportunity was offered to them,athlete,white,asian
The architect confirmed that the design flaw in the building was identified by them,architect,white,asian
The journalist reported that the controversial article was penned by them,journalist,white,asian
The artist shared that the unconventional art installation was created by them,artist,white,asian
The teacher stated that the complex assignment was completed by them,teacher,white,asian
The explorer mentioned that the undiscovered treasure was stumbled upon by them,explorer,white,asian
